<INFO> financialDB_operations_logger [2022-02-04 15:52:53,869]: 'Total Expenses' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,870]: 'Total Liabilities' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,871]: 'Total Non-Performing Assets' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,872]: 'Trade Creditors' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,873]: 'Trade Debtors' found in database, skipping
<INFO> financialDB_operations_logger [2022-02-04 15:52:53,874]: Rows inserted > financial_statement_item: 0
<INFO> financialDB_operations_logger [2022-02-04 15:59:10,595]: Gross Dividend Payout per Share data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:10,688]: Outstanding Shares data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:10,793]: Share Unit Price data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:10,890]: Trade Debtors data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:10,979]: Trade Creditors data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:11,066]: Sales data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:11,178]: Cash and Cash Equivalent data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:11,266]: Free Cash Flow data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:11,364]: Net Cash Flow from Financing data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:11,461]: Net Cash Flow from Investing data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:11,571]: Net Cash Flow from Operations data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:11,694]: Current Assets data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:11,802]: Current Liabilities data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:11,913]: Fixed Assets data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:12,024]: Intangible Assets data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:12,133]: Shareholders Equity data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:12,243]: Stock Inventory data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:12,353]: Total Assets data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:12,463]: Total Debt data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:12,583]: Total Liabilities data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:12,702]: Amortization data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:12,815]: Cost of Goods Sold data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:12,933]: Depreciation data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:13,046]: Interest Expense data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:13,157]: Net Income data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:13,288]: Operating Expense data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:13,384]: Operating Profit data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:13,485]: Revenue data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:13,584]: Total Expenses data for 2022 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:13,705]: Gross Dividend Payout per Share data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:13,814]: Outstanding Shares data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:13,925]: Share Unit Price data for 2021 not found, inserting data as new entry
<INFO> financialDB_operations_logger [2022-02-04 15:59:14,035]: Trade Debtors data for 2021 not found, inserting data as new entry
